Rating;Title;Username;Date;Review
10;Never gets old;imdb-ikysmoviedatabase29;29 December 2020;The first 2 movies will always be my favourite just like for most people these movies never get old still love watching them even today 11 out of 12 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Classic!;killdkiller24;24 December 2019;Christmas favourite, every year! Good acting, storyline, funny and heart warming 77 out of 80 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;One of the best Christmas movies ever made.;Sleepin_Dragon12;12 January 2024;An eight year old boy is accidentally left at home by his family, his mission, to defend the family home, using only objects from the house to make traps and ingenious defence systems.  How on Earth do you even review a movie like Home Alone, all I can say, is that over Christmas 2023, I must have watched this movie three or four times, that says it all.  It's wonderful, truly wonderful, fun, entertaining, zany, which kid didn't contemplate the idea of being left home alone, to fend for themselves, it works on every single level.  It's not a film you can take too seriously, sometimes when you look back at films from the 80's and 90's, you can take them too literally, the basic idea of a family leaving an eight year old boy behind, well it just wouldn't happen, but who cares, it's entertainment.  You'll want to download 'Rockin around the Christmas tree' by Brenda Lee after watching it.  We will never get films like this one ever again.  10/10. 4 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink
7;Surreal and hilarious;Atreyu_II20;20 August 2007;"""Home Alone"" is one of the most popular movies from the early 90's. Its success was phenomenal and it also made Macaulay Culkin a superstar.  The plot is quite original and surreal: a child who is home alone and capable of making the bandits's lives miserable? Sure, it's an impossible story, but who cares? Far from being a perfect movie, it is however okay and fun to watch, entertaining and contains slapstick humor too although I don't like some of the language used.  Our story takes place in Chicago at Christmas time, which makes this a Christmas film. In fact, the movie has lots of Christmas decorations, lights, snow and many other details which create the feeling and magic so characteristic of Christmas. To accent the Christmas atmosphere even more, there are a cup of nice Christmas carols such as ""Rockin' Around the Christmas Tree"" (performed by Brenda Lee), ""You're a mean one, Mr. Grinch"", ""White Christmas"", ""Carol of the Bells"", ""Oh Holly Night"" and ""Have Yourself a Merry Little Christmas"" and some brilliant instrumental musics.  Kevin McCallister is the hero of the story. He's not just any kid, he's a very smart one. He also knows all about the intentions of the ""wet bandits"" Harry and Marv and prepares them lots of unexpected ""surprises"". Their lives won't be easy with Kevin defending his house. Sure, they are the villains and as such they get what they deserve, but they do suffer a lot too. We almost feel sorry for them.  The ""wet bandits"" were nicknamed like that by Marv because their ""calling card"" (according to him) was to let the water running in every houses they robbed. That said, both ""wet bandits"" are hilarious. Harry is more cranky, while Marv is the most stupid of the two (although both are stupid) and maybe that's why people tend to sympathize more with him. Marv's stupidity also makes him the funniest of the two. Marv is the typical tall and clumsy guy with no brain, a bit like Averell Dalton from the Lucky Luke comics.  The movie has lots of funny moments. The funniest for me is when Harry and Marv pretend to be Santa Claus and his elf and the way Harry speaks in that scene, followed by the even funnier part when Kevin fires at Harry's pants. Whenever Kevin fools the bandits in a try to make them believe the whole family is at home when Kevin is all alone is funny too. For some reason, I also find funny whenever Kevin screams maniacally (particularly when he says he's not afraid anymore and sees Old Marley and screams out loud.  The scenes which Kevin fools and scares the Little Nero's Pizza boy and Marv with the gangster film ""Angels with Filthy Souls"" are hilarious, but in the case of the Pizza boy it is unfair for him. There was no need to scare the hell out of him - he was just delivering pizza and wasn't after Kevin.  Old Marley is an interesting character. I always felt sorry for him because of the lies Buzz tells about him. And the man never did anything bad to anyone. Buzz is a jerk and Uncle Frank is even worse. Buzz is mean for Kevin and Uncle Frank openly dislikes Kevin. When Uncle Frank tells Kevin «Look what you did, you little jerk!», Kevin's parents should tell him something like «Frank, stay out of this and shut up!».  The church is magnificent. It's one of the biggest and most beautiful churches I've ever seen in a movie.  Macaulay Culkin is terrific as the clever kid Kevin McCallister. Joe Pesci and Daniel Stern are awesome as the ""wet bandits"" and Roberts Blossom is great as the character Old Marley. It's also delightful to see John Candy as Gus Polinski, the «Polka King of the Midwest». 40 out of 56 found this helpful. Was this review helpful? Sign in to vote. Permalink"
8;Home Alone;Toronto8517;17 December 2012;"An eight year old boy is left home alone at Christmas when his family leave for a France vacation, not realizing he isn't on the plane with them. Two crooks attempt to rob the family home, and it is up to Kevin to protect the place! Home Alone is one of my all time favourite Christmas movies, I couldn't get enough of it as a kid growing up. There was something powerful as a child seeing another child around the same age face the bad guys and be able to defeat them.  Home Alone is basically about a family that leaves for vacation, but in the rush of getting out on time they forget that young Kevin McCallister was not with them on their way to the airport. So while they take off for Paris, Kevin wakes up to find that he is all alone in this gigantic house. It's all fun and games at first for Kevin, until he discovers that a pair of thieves plan on robbing his house thinking that the place is empty. Whiz kid Kevin sets up a number of booby traps and set ups that severely injure the bandits. Examples include one of the thieves named Harry getting his head set on fire, the other Marv gets hit in the head with an iron. These kind of stunts could kill a person in real life, but the magic of movies allows the bandits to shake it off and continue their mischief.  The acting in Home Alone is top notch! Macaulay Culkin is brilliant as Kevin McCallister, the scared yet empowered young boy who takes on the ""Wet Bandits"". Those bandits are played by Joe Pesci and Daniel Stern who add so much to the film with their performance. And you get some good screen time from stars such as Catherine O'Hara, John Heard and even John Candy. The traps that Kevin sets are smart and witty, and the location shots are perfect for the tricks he has planned for Harry and Marv.  All in all Home Alone is a classic film not only for Christmastime, but all year round. This should be seen by everyone at least once.  8/10 16 out of 19 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;No remakes!;lizs128917;17 December 2019;This is one of my favourite films but I have read that a new version is to be filmed in early 2020. NOooooooooo! It does not need to be remade. It stands the test of time and is as funny now as it was on its release. 21 out of 25 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;Timeless Classic;view_and_review10;10 November 2019;Home Alone was made by the last half-hour of that movie. Not that the rest of the movie wasn't good, it's just that the end was so spectacular. Till this day the most memorable parts of the movie are the traps Kevin (Macaulay Culkin) set for the thieves. They were ingenious, effective, hilarious, and timeless. My daughter laughed at the same things I laughed at 29 years ago. 10 out of 13 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Home for the Holidays;hellraiser728;28 November 2019;"This is one of my favorite movies of all time as well as one of my favorite Christmas films.  It's also another one of my childhood gems, it's was just so much fun for so many reasons but also heartfelt at the same time. I really like the plotline as it's sort of a wishfulment fantasy being the man or woman of the house and just having complete freedom to do whatever you want and make your own rules.  There is so much to like, from the production value, which is great, really like how the traps were set up and conducted. Even the music is great, from some soundtrack bits but it's really the score by one of my favorite composers John Williams which makes it the most memorable. From that theme song which is one of my favorite themes of all time, as it has both a Christmas tune but at the same time a sense of foreboding as it reminds us as fun and cheerful as the film is there is still trouble in paradise. But another tune which is ""All of my Memories"" is just beautiful and perfectly reflects the theme of the film.  I really like the characters, from the Wet Bandits Harry and Marv played well by Joe Pechi and Daniel Stern. Both your classic comic duo much like Abbot and Costello and any other you can think about, both are so much fun as both are pretty much numb skulls.  Well Harry is more the smart one of the bunch as it seems like he the only one that really supplies the brain power of their schemes. However, this guy is no genius as his Achilles heel is that he's arrogant thinking he's so clever and listens too much to his own greed which we know both these things can make people stupid or do some stupid crap.  Marv is pretty much Harry's flunky as he's dumb. But what makes him really funny is how he's a bit of a man child sometimes, like having these delusions of grangur in being one of the most famous criminals in history by leaving the water running as their calling card as ""The Wet Bandits"", despite the fact he clearly needs a reality check as he's just increased their chances of getting caught and identified. But I really love some of his lines, he's got some great lines, one of my favorites ""he sounded like a snake"" I know a small line but it's funny on two counts.  But of course, my favorite character is the main protagonist Kevin McCallister played well by Macaulay Culkin. I really like that he's not some stereotypical annoying all smiles kid. Kevin really felt like a real kid whom is a relatable character as some of what he's gone though is some of the things that we may have experienced a time or two in our lives when we were kids.  It's interesting what kind of household he lives in which must be the busiest household I've ever seen as it seems populated with twenty plus people. I remember whenever I watch the film, I always wonder who that person or the other in the family is. I honestly wouldn't mind if they made some sort of TV program (on a premium channel) called ""The McCallister's"" where we could see Kevin and the rest of the family years later, get to know the rest of them and see what shanagans they get into. If not there's always a licensed comic book, follow up; and if one or both these happened it would be the true third sequel. Well, it's a nice thought anyway.  Alright back to Kevin, he's charismatic, has some of the best lines in the film. My favorite from him is ""This is it, don't get scared now"" yeah that's the kind of line I use whenever there is a final battle in certain Horror movies or survival horror video games. The film is almost at times like a one man play sometimes as in most scenes Kevin has only himself to talk to, but he does it so well because he's got a lot of interesting things to say.  I really love how smart he is, this guy you could say could almost be a genius as he's a tactician, from building those elaborate traps. However, he is still naive like a child which increases the relatability factor as we've been through that. Like one of my favorite scenes is seeing Kevin dig though Buzz's trunk and he first looks though a Playboy magazine and says one really funny line that cracked me up ""No clothes on anyone sickening"", yeah that what most of us and myself felt at Kevin's age.  However, the one thing about him that makes him the most enduring is he is highly sympathetic. He has a big family but he is the only one that is the most underappreciated, doesn't really get much attention nor help when he needs and asks for it, none of the breaks and for some fraked up reason seems to be the target of ridicule for most family members, seriously what the frak is everyone's problem.  Like in one scene he is trying to ask some people to help him pack a suitcase as he's never done it before, which is understandable because he's still really little which means there are a lot of things, he's never done himself before. But of course no one is or wants to help him do it, seriously not one member could take five to ten minutes of their life to show/help him pack, it wouldn't of killed them instead they act like they have more important things to do which they don't.  The worst of all is Buzz, this is a guy you sort of love to hate as he's kind of funny or even just plain hate as he really presses a wrong button with you. What I really don't like about the guy is that he's is just so full of crap; from that story he tells both Kevin and another brother about a neighbor you just see as he's telling that he has a crap eating grin on his face, so you know the story is bull crap just to get cheap amusement. And another which was eating Kevin's Cheese Pizza on purpose and insulting Kevin once more, thinking he's so funny which pushes Kevin over the edge.  I really love that Kevin retaliated, I'd do the same thing any bully that ever takes away my Cheese Pizza or even video game playing are going to meet Goku and Vegetta (my left and right fists); I know that sounds bold but human right need to be defended.  Sadly, Kevin unfortunately get punished for something that wasn't his fault, let alone doesn't even have dinner. But the last part of that scene are really sad when instead of the mom talking and exercising understanding with Kevin to hear what really happened, she just retorts in a mocking and insulting tone, which I thought was uncool, I guess she forgot the old saying ""if you have nothing nice to say, don't say anything at all"" At that moment I just knew that was the final straw and Karma was about to come down on the family hard.  There are so many great and memorable scenes and moments throughout the film, so there is hardly a dull moment.  One of my favorite scenes no doubt is when Kevin is watching a gangster pic and of course he's eating probably the biggest ice cream sundae I've ever seen, man I can never eat that many scoops. That film he watches is great, I honestly thought that was a real movie but no it's not. This is something as kids we always dreamed about which was to see Rated R films without restrictions.  I just love the exaggerated nature of the film as we see the lead gangster Johnny solve his dilemma with a Tommy Gun (yeah that does work every time in those pics) and he just says one of my favorite movie quotes that cracked me up, ""Keep the change you filthy animal."" But I really like Kevin's reaction to that film as he's closing his eyes despite the fact there is no gore or squib effects. But for a kid his age that would be considered graphically violent and not something he's totally used to seeing. And this joke with the gangster movie gets funnier as we see it used in two different scenes in two different ways.  And of course, there is the famous big battle near the end of the film which is in my book one of my favorite battles of all time. It's basically a home invasion battle which I think is cool because it's sort of like a strategy game battle, since the battle takes place on your own turf it makes you the general, giving you plenty of opportunities to tactically take out invaders whichever area they occupy. But of course, it's pretty much a slap stick/ physical comedy fest as we see the Wet Bandits constantly getting hurt by Kevin's traps and miraculously surviving, this was just hilarity at it's best, it made me laugh till it hurt.  I'll just say a couple of my favorites as I don't want to give too much away, from the first scene seeing Kevin use the BB gun on both robbers, it's just funny how Harry reacts to the pain and he is just saying a bunch of gibberish in frustration.  Another of course is the nail trap, it's funny because of just the delayed reaction as it pain doesn't even register until a little latter and I just laughed along the way.  However, despite all the fun of the film this film has heart as the revolving theme is about appreciating family. There is one scene I found sad when Kevin is looking at a family whom is home for the holiday's enjoying Christmas, he has a sad look on his face, which I'll admit put a tear in my eye. That scene shows what Kevin truly wanted which was simply to have Christmas with his family. Or even some bits with the family feeling guilt over the loss of Kevin from the mom evaluating her own parenting and a member or two not enjoying their time in Paris as they know in their hearts it's not a real vacation as their family is incomplete.  This just makes the pay off even sweeter, I'll just say both Kevin and the Macalister's get what they want for Christmas. No one is ever alone for the holidays as long as there are still people that love you.  Rating: 4 stars 9 out of 11 found this helpful. Was this review helpful? Sign in to vote. Permalink"
9;Culkin effortless;MFC96;96 December 2021;Always mentioned in the Top 1 or 2 Christmas films of all time, Home Alone is not only hilarious and still highly rewatchable after thirty years, but it's easy to forget this film was carried effortlessly by then ten year old Macauley Culkin. Stern and Pesci are brilliant and O'Hara beautifully subtle as the polar opposite to Moira Schitt. Sensational 9/10. 6 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;WHEN HOLLYWOOD GETS IT RIGHT!;Sunsphxsuns13;13 November 2021;"If you're reading this in 2021, then you should know that it was exactly 31 years ago, in the month of November, that Home Alone was released in theaters. That striking fact alone is quite revealing, particularly because this film hasn't ""aged"" at all and is still artistically and cinematically relevant even today.  There is very little I say about this absurdly entertaining film that likely hasn't been thoroughly covered already. Home Alone is arguably the quintessential modern day holiday film that could only come from the exceptionally gifted mind of the late writer/director/producer, John Hughes. .  I purchased the Family Fun Edition DVD for the generous wealth of ""extras"" which include a camera interview with child star Macaulay Culkin, loads of deleted scenes, featurettes, a handful of games, and even a optional commentary track with the director, Chris Columbus, and the featured star, Macaulay Culkin.  As always, no spoilers here, but I will reveal that in ""real life"" co-star Daniel Stern has morbid arachnophobia (fear of spiders). 10 out of 12 found this helpful. Was this review helpful? Sign in to vote. Permalink"
no rating;Full of fun;Op_Prime16;16 April 2000;Home Alone has a rather thin plot but makes up for it with all that cartoon-like violence. Joe Pesci and Daniel Stern give wonderful performances and are the best thing in this movie. Macaulay Culkin is an okay actor, nothing special, but okay. Home Alone is best watched during the holidays. That is when it can be most enjoyed. 31 out of 49 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;It's not Christmas time until Home Alone comes on TV!;Alishakaye822;22 March 2009;"I'm a young adult, and not a huge fan of the kids movies these days. Some people would classify this as a kids movie, but I think it's more of a classic. I grew up seeing this on TV every winter, and it's still one of my favorites. The sequels are awful, as are most sequels...but the original Home Alone is fantastic. I STILL laugh when I watch it. It's really one of those ""feel good"" movies, the kind that make you want to cuddle up on the couch with family and relax and enjoy it.  If you haven't seen it yet, you're missing out on a great Christmas movie. Heck, it's even great for a rainy day. Watch it, you'll love it! I wish it were on more often! 39 out of 45 found this helpful. Was this review helpful? Sign in to vote. Permalink"
9;The near-perfect American family film;Leofwine_draca25;25 December 2015;"I saw and loved HOME ALONE as a kid, particularly enjoying all the 'home invasion' traps that Kevin McCallister set up for the bad guys. Watching it nowadays, I'm surprised to see that this sequence only takes up the last quarter of the movie; before then there's a surprisingly complex storyline with some good sub-plots to keep it moving nicely along.  That this also turns out to be a classic film which has lost none of its warmth and magic is the biggest surprise. Yes, Macaulay Culkin is more than a little annoying when you watch him as an adult - in fact, I remember him being annoying when I watched him as a kid - but you can forgive him because he's endearing nonetheless. Of the supporting cast, the ones who particularly shine are Joe Pesci (channelling some of that GOODFELLAS energy), Daniel Stern, and Roberts Blossom (DERANGED).  The film was written by John Hughes, so the expected sentimentality is here, but somehow it never becomes too cloying - you can live with it, because there's plenty of good stuff elsewhere. That home invasion stuff is still superbly directed, surprisingly violent, and very funny, and there's so much ingenuity packed into the running time that this is a film impossible to dislike. In fact, I still love it. 8 out of 12 found this helpful. Was this review helpful? Sign in to vote. Permalink"
8;That Face Helped Make This A Big Hit;ccthemovieman-13;13 October 2006;"This an absurd storyline. Hollywood loves to show movies in which kids are smarter than adults, for some reason. Also, we are expected to believe a big family can go all the way to the airport and then fly to France before finding out one of their kids was left at home??! I don't think so. I know a lot of big families and this would never-in-a-million years happen.  However, it's just a movie, and it isn't real and you can't take any of it seriously. Thus, the idea is to go along with the wild premise and enjoy the antics that follow....and there are plenty of those!  A share of the credit for the big success of this film should go to God, who made Maccaulay Culkin's face. Without it, I doubt this would have been anywhere near the hit is was, but Culkin's ""cuteness"" helps makes you root for him and his facial expressions provide a lot of laughs. He turned out to be a fine child actor.  The two guys (Joe Pesci and Daniel Stern) that play incompetent crooks are funny and some of the humor is clever, although slapstick ""rules"" in this film.  There are some really nice messages in here, such as ""families suck,"" says the kid. Oh, well, some think this film did, too. I am not a big fan of it, but I did enjoy it along with most other people. I thought the sequel was better, though. 31 out of 61 found this helpful. Was this review helpful? Sign in to vote. Permalink"
